id,name,category,primary_muscles,difficulty,image_url
3_4_Sit-Up,Sit-up de 3/4,Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/3_4_Sit-Up/0.jpg
90_90_Hamstring,Estiramiento de Femorales 90/90,Peso Corporal,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/90_90_Hamstring/0.jpg
Ab_Crunch_Machine,Crunch Abdominal en Máquina,Máquina,Abdominales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ab_Crunch_Machine/0.jpg
Ab_Roller,Rueda Abdominal,Otros,Abdominales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ab_Roller/0.jpg
Adductor,Aductor con Rodillo,Foam Roller,Aductores,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Adductor/0.jpg
Adductor_Groin,Estiramiento de Aductor/Ingle,,Aductores,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Adductor_Groin/0.jpg
Advanced_Kettlebell_Windmill,Molino Avanzado con Kettlebell,Kettlebell,Abdominales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Advanced_Kettlebell_Windmill/0.jpg
Air_Bike,Abdominales Bicicleta,Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Air_Bike/0.jpg
All_Fours_Quad_Stretch,Estiramiento de Cuádriceps en Cuadrupedia,Peso Corporal,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/All_Fours_Quad_Stretch/0.jpg
Alternate_Hammer_Curl,Curl Martillo Alterno con Mancuerna,Mancuerna,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Hammer_Curl/0.jpg
Alternate_Heel_Touchers,Toques de Talón Alternos,Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Heel_Touchers/0.jpg
Alternate_Incline_Dumbbell_Curl,Curl Inclinado Alterno con Mancuernas,Mancuerna,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Incline_Dumbbell_Curl/0.jpg
Alternate_Leg_Diagonal_Bound,Saltos Diagonales Alternos,,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Leg_Diagonal_Bound/0.jpg
Alternating_Cable_Shoulder_Press,Press de Hombros Alterno en Polea,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Cable_Shoulder_Press/0.jpg
Alternating_Deltoid_Raise,Elevación Lateral Alterna con Mancuernas,Mancuerna,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Deltoid_Raise/0.jpg
Alternating_Floor_Press,Floor Press Alterno con Kettlebell,Kettlebell,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Floor_Press/0.jpg
Alternating_Hang_Clean,Hang Clean Alterno con Kettlebell,Kettlebell,Femorales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Hang_Clean/0.jpg
Alternating_Kettlebell_Press,Press Militar Alterno con Kettlebell,Kettlebell,Hombros,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Kettlebell_Press/0.jpg
Alternating_Kettlebell_Row,Remo Alterno con Kettlebell,Kettlebell,Espalda Media,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Kettlebell_Row/0.jpg
Alternating_Renegade_Row,Remo Renegado Alterno,Kettlebell,Espalda Media,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternating_Renegade_Row/0.jpg
Ankle_Circles,Giros de Tobillo,,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ankle_Circles/0.jpg
